 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| papp | papp | päpp -el -n (U) | der Papp | | | |Verzehr| "gut ernähren"
| papp | papp | papp -en | der Papp | | | |Verzehr|
| park | park | park -en | | | | neues Lehnwort < en. ~ parkieren | |
| parse | parse | parse -n | | | | neues Lehnwort < en. | |
| partner | partner | ver- partner -n | der Partner | | | 19. Jhd. Lehnwort < en. |Lebewesen|
| pasch | pasch | pasch -en | | | | | | "schmuggeln"
| paspel | paspel | paspel -n | der Paspel | | | Lehnwort < fr. passe-poil |Instrument| "Stoffstreifen"
| pass | pass | pass -en | | | | | |
| patch | patch | patch -en | der Patch | | | neues Lehnwort < en. |Instrument|
| patsch | patsch | patsch -en | | | | |Dinggeräusch|
| patz | patz | patz -en | | | | | | "Fehler machen"
| pauke | pauke | pauke -n | die Pauke | | | |Instrument|
| pause | pause | pause -n | die Pause | | | ~ abpausen |Resultat| "mit Papier übertragen"
| pedal | pedal | pedal -en | das Pedal | | | |Instrument|
| pediküre | pediküre | pediküre -n | die Pediküre | | | |Resultat|
| pegel | pegel | ein- pegel -n | der Pegel | | | |Resultat|
| peil | peil | peil -en | | | | ~ Pegel | |
| pein | pein | pein -ig -en | die Pein | | | |Empfindung|
| peitsche | peitsche | peitsche -n | die Peitsche | | | |Instrument|
| pelle | pelle | pelle -n | die Pelle | | | |Meronym|
| pelz | pelz | pelz -en | der Pelz | | | Lehnwort < lat. pellīcium |Meronym|
| pendel | pendel | pendel -n | die Pendel | | | Lehnwort < lat. pendulus |Analogon|
| penne | penne | penne -n | die Penne | | | |Ort| "schlechte Herberge"
| pep | pep | auf- pepp -en | der Pep | | | neues Lehnwort < en. |Resultat|
| perform | perform | perform -en | | | | neues Lehnwort < en. | |
| perle | perle | perle -n | die Perle | | | ~ abperlen |Analogon|
| person | persön -lich (U) | ent- persönlich -en | | persönlich | | | |
| pes | pes | pes -en | die Pace | | | neues Lehnwort < en. ~ lat. passus |Resultat|
| pest | pest | ver- pest -en | die Pest | | | |Analogon|
| petze | petze | petze -n | die Petze | | | |Lebewesen|
| pfad | pfad | pfad -en | der Pfad | | | |Resultat|
| pfahl | pfahl | pfähl -en (U) | der Pfahl | | | |Instrument|
| pfand | pfand | pfänd -en (U) | das Pfand | | | |Resultat|
| pfarre | pfarre | ein- pfarre -n | die Pfarre | | | |Ort|
| pfeffer | pfeffer | pfeffer -n | der Pfeffer | | | Lehnwort < lat. piper |Meronym|
| pfeife | pfeife | pfeife -n | die Pfeife | | | |Instrument|
| pferch | pferch | pferch -en | der Pferch | | | |Ort|
| pfetz | pfetz | pfetz -en | | | | | | "kneifen"
| pflanze | pflanze | pflanze -n | die Pflanze | | | |Resultat|
| pflaster | pflaster | pflaster -n | das Pflaster | | | Lehnwort < lat. plastrum |Meronym|
| pflaume | pflaume | an- pflaume -n | die Pflaume | | | |Analogon|
| pflege | pflege | pflege -n | die Pflege | | | |Resultat|
| pflicht | pflicht | bei/ver- pflicht -en | die Pflicht | | | |Resultat|
| pflock | pflock | pflock -en | der Pflock | | | |Instrument|
| pflück | pflück | pflück -en | | | | | |
| pflug | pflug | pflüg -en (U) | der Pflug | | | |Instrument|
| pfriem | pfriem | pfriem -el -n | der Pfriem | | | ~? friemeln |Analogon|
| pfropf | pfropf | pfropf -en | der Pfropf | | | |Instrument|
| pfründe | pfründe | ver- pfründe -n | die Pfründe | | | |Analogon|
| pfusch | pfusch | pfusch -en | der Pfusch | | | |Resultat|
| pich | pich | pich -en | der Pech (A) | | | ~ lat. pix |Meronym|
| pichel | pichel | pichel -n | | | | ~? Pegel | | "saufen"
| pick | pick | pick -en | | | | Lehnwort < fr. piquer "mit Schnabel hacken" | |
| picknick | picknick | picknick -en | der Picknick | | | 19. Jhd. Lehnwort < en. < fr. piquer |Verzehr|
| piep | piep | piep -en | | | | |Tiergeräusch|
| piep | piep | piep -s -en | | | | |Tiergeräusch|
| piesack | piesack | piesack -en | | | | ~? nd. Pesek "Geschlechtsglied des Stiers" |Stimmgeräusch|"ärgern"
| piesel | piesel | piesel -n | | | | |Körperbewegung| "pinkeln"
| pik | pik -s | piks -en | der Piks | | | |Resultat| "Nadel einstechen"
| pik | pik | pik -en | der Pik | | | Lehnwort < fr. piquer |Analogon| "stechen, ärgern"
| pilger | pilger | pilger -n | der Pilger | | | Lehnwort < lat. peregrinus (r>l) |Lebewesen|
| pilk | pilk | pilk -en | | | | ~ Pilker | | "fischen"
| pimp | pimp | pimp -en | | | | neues Lehnwort < en. | |
| pimper | pimper | pimper -n | | | | ~ Pimmel |Körperbewegung| "sex"
| pinkel | pinkel | pinkel -n | | | | |Körperbewegung| "pinkeln"
| pinne | pinne | pinne -n | die Pinne | | | |Instrument|
| pinsel | pinsel | pinsel -n | der Pinsel | | | Lehnwort < lat. peniculus |Instrument|
| pirsch | pirsch | pirsch -en | die Pirsch | | | |Resultat| "jagen"
| pisper | pisper | pisper -n | | | | |Stimmgeräusch| "flüstern"
| pisse | pisse | pisse -n | die Pisse | | | |Resultat| "pinkeln"
| pitch | pitch | pitch -en | der Pitch | | | neues Lehnwort < en. |Resultat|
| pixel | pixel | ver- pixel -n | das Pixel | | | neues Lehnwort < en. |Analogon|
| plack | plack | plack -en | der Plack | | | ~ die Plage |Analogon| "sich mühen"
| pladder | pladder | pladder -n | | | | | | "regnen"
| plage | plage | plage -n | die Plage | | | |Analogon|
| plan | plan | plan -en | der Plan | | | |Resultat|
| planke | planke | be/ein- planke -n | die Planke | | | |Meronym|
| plänkel | plänkel | plänkel -n | das Ge- plänkel | | | |Stimmgeräusch|
| plansch | plansch | plansch -en | | | | |Dinggeräusch|
| plapper | plapper | plapper -n | | | | |Stimmgeräusch|
| plärr | plärr | plärr -en | | | | |Stimmgeräusch|
| pläster | pläster | pläster -n | | | | ~? Pflaster "Bodenbelag" | | "regnen"
| platsch | platsch | platsch -en | | | | |Dinggeräusch|
| platsch | platsch | plätsch -er -n (U) | | | | |Dinggeräusch|
| platt | platt | plätt -en (U) | | platt | | | |
| platte | platte | ab/ver- platte -n | die Platte | | | |Meronym|
| platte | platte | plätte -l -n (U) | die Platte | | | |Meronym| "fliesen"
| platte | platte | platte -l -n | die Platte | | | ~ Schuhplatte |Instrument| "tanzen"
| platz | platz | platz -en | der Platz | | | |Resultat|
| plauder | plauder | plauder -n | | | | |Stimmgeräusch|
| plausch | plausch | plausch -en | der Plausch | | | |Resultat|
| plauz | plauz | plauz -en | | | | |Dinggeräusch| "laut schlagen"
| plemper | plemper | plemper -n | | | | | | "trödeln"
| plier | plier | plier -en | | | | | | "schauen"
| plinker | plinker | plinker -n | | | | |Körperbewegung| "blinzeln"
| plins | plins | plins -en | | | | |Stimmgeräusch| "weinen"
| plombe | plombe | ver- plombe -n | die Plombe | | | |Instrument|
| plopp | plopp | plopp -en | | | | |Dinggeräusch|
| plump | plump -s | plumps -en | der Plumps | | | |Resultat|
| plunder | plunder | plünder -n (U) | der Plunder | | | |???| "Plunder nehmen"
| plus | plus | plus -t -er -n | | | | ~ nl. pluizen, mnd. plūsen "rupfen" | | "Fell aufrichten"
| pöbel | pöbel | pöbel -n | der Pöbel | | | |Lebewesen|
| poch | poch | poch -en | | | | |Dinggeräusch| "klopfen"
| poch | puck | puck -er -n | | | | ~ mnd. puchen "schlagen" ~ pochen |Dingbewegung| "pochen, pulsieren"
| podcast | podcast | podcast -en | der Podcast | | | neues Lehnwort < en. |Resultat|
| pof | pof | pof -en | | | | | | "schlafen"
| pogo | pogo | pog -en | der Pogo | | | neues Lehnwort < en. |Resultat| "tanzen"
| pökel | pökel | pökel -n | der Pökel | | | |Meronym|
| poker | poker | poker -n | das Poker | | | 20. Jhd. Lehnwort < en. |Analogon|
| pol | pol | pol -en | der Pol | | | |???| "an Pol anschließen"
| polder | polder | ein- polder -n | der Polder | | | |Resultat|
| polk | polk | polk -en | | | | | | "mit dem Finger herumbohren"
| polster | polster | polster -n | das Polster | | | < germ. \*bulhstra |Meronym|
| polter | polter | polter -n | | | | |Dinggeräusch|
| popel | popel | popel -n | der Popel | | | |Resultat|
| popp | popp | popp -en | | | | |Körperbewegung| "sex"
| posaune | posaune | posaune -n | die Posaune | | | < lat. būcina |Instrument|
| pose | pose | pose -n | die Pose | | | 19. Jhd. Lehnwort < fr. poser |Resultat|
| post | post | post -en | | | | neues Lehnwort < en. ~ die Post| |
| power | power | power -n | die Power | | | neues Lehnwort < en. ~ auspowern |Resultat|
| pracher | pracher | pracher -n | der Pracher | | | |Lebewesen| "betteln"
| präg | präg | präg -en | die Präg -ung | | | | |
| prahl | prahl | prahl -en | | | | | | "mit Pracht und Prahl"
| prall | prall | prall -en | | prall | | | | "die Sonne prallt"
| prang | pran | pran -z -en | | | | | | "prahlen"
| prang | prang -er | an- pranger -n | der Pranger | | | ~ mnd. prangen "drücken" |Instrument|
| prang | prang | prang -en | | | | | | "Prunk zeigen"
| präpel | präpel | präpel -n | | | | | | "essen"
| prass | prass | prass -en | | | | | | "in Genuss leben"
| prassel | prassel | prassel -n | | | | |Dinggeräusch|
| predig | predig | predig -en | die Predig -t | | | < lat. praedicāre |Resultat|
| prei | prei | prei -en | | | | |Stimmgeräusch| "Schiff anrufen"
| preis | preis | preis -en | der Preis | | | ~ fr. prisier "schätzen, rühmen" |Resultat| "einen Preis geben"
| prell | prell | prell -en | | | | | |
| presch | presch | presch -en | | | | | |
| presse | presse | presse -n | die Presse | | | |Instrument|
| prick | prick -el | prickel -n | der Prickel | | | |Empfindung|
| prick | prick | prick -en | | | | | | "ausstechen"
| priem | priem | priem -en | der Priem | | | |Verzehr|
| pritsche | pritsche | pritsche -n | die Pritsche | | | |Instrument|
| probe | probe | pröbe -l -n (U) | die Probe | | | |Instrument| "Versuche durchführen (ohne Erfolg)"
| probe | probe | probe -n | die Probe | | | |Resultat|
| promote | promote | promote -n | | | | neues Lehnwort < en. | |
| prophetie | prophetie | prophezei -en | die Prophetie | | | < gr. prophḗtēs |Resultat|
| prost | prost | prost -en | | | | | |
| protz | protz | protz -en | der Protz | | | |Lebewesen|
| prudel | prudel | prudel -n | | | | | | "pfuschen"
| prüf | prüf | prüf -en | die Prüf -ung | | | | |
| prügel | prügel | prügel -n | der Prügel | | | ~? Brücke |Instrument|
| prunk | prunk | prunk -en | der Prunk | | | |Resultat|
| prusch | prusch | prusch -en | | | | |Körperbewegung| "prusten"
| prust | prust | prust -en | | | | |Körperbewegung|
| puck | puck | puck -en | | | | | | "Baby einwickeln"
| pudel | pudel | pudel -n | | | | ~? Puddel ≠ Pudel | | "planschen"
| puder | puder | puder -n | das Puder | | | Lehnwort < fr. poudre |Meronym|
| puff | puff -er | ab- puffer -n | der Puffer | | | |Instrument| "Zugabfederung"
| puff | puff | puff -en | der Puff | | | |Resultat|
| pul | pul | pul -en | | | | | | "mit dem Finger bohren"
| pull | pull | pull -en | | | | | | "rudern"
| puller | puller | puller -n | | | | |Körperbewegung| "pinkeln"
| puls | puls | puls -en | der Puls | | | Lehnwort < lat. pulsus |Analogon|
| pulver | pulver | pulver -n | das Pulver | | | Lehnwort < lat. pulvis/pulveris |Resultat|
| pummel | pummel | an- pummel -n | der Pummel | | | |Lebewesen| "dick anziehen"
| pumpe | pumpe | pumpe -n | die Pumpe | | | |Instrument|
| pumper | pumper | pumper -n | | | | |Dinggeräusch| "laut klopfen"
| punkt | punkt | punkt -en | der Punkt | | | |Resultat|
| punze | punze | punze -n | die Punze | | | |Instrument| "stempeln"
| pup | pup -s | pups -en | der Pups | | | |Resultat|
| pup | pup | pup -en | der Pup | | | |Resultat|
| puppe | puppe | ent/ver- puppe -n | die Puppe | | | |Resultat|
| purzel | purzel | purzel -n | | | | |Körperbewegung|
| pusch | pusch | pusch -en | | | | |Körperbewegung| "pinkeln"
| push | push | push -en | der Push | | | neues Lehnwort < en. |Resultat|
| pussel | pussel | pussel -n | | | | ~? Puzzle | | "arbeiten"
| puste | puste | puste -n | die Puste | | | |Resultat|
| putsch | putsch | putsch -en | der Putsch | | | |Resultat|
| putt | putt | putt -en | der Putt | | | neues Lehnwort < en. |Resultat| "Golf spielen"
| putz | putz | putz -en | der Putz | | | |Instrument|
| puzzle | puzzle | puzzel -n | das Puzzle | | | neues Lehnwort < en. |Analogon|
| quak | quak | quack -el -n | | | | |Diminutiv| "schwatzen"
| quak | quak | quäk -en (U) | | | | |Stimmgeräusch| "jammern"
| quak | quak | quak -en | | | | |Tiergeräusch|
| qual | qual | quäl -en (U) | die Qual | | | |Resultat| "Qual bereiten"
| qualm | qualm | qualm -en | der Qualm | | | |Resultat|
| qualster | qualster | qualster -n | der Qualster | | | |Resultat|
| quant | quant | quant -el -n | das Quant | | | |Meronym|
| quappe | quappe | quappe -l -n | die Quappe | | | |Lebewesen| "wabbeln"
| quarr | quarr | quarr -en | | | | |Tiergeräusch|
| quarz | quarz | quarz -en | | | | ~? pol. kurzyk | | "rauchen"
| quas | quas | quas -en | | | | | | "vergeuden"
| quassel | quassel | quassel -n | | | | |Stimmgeräusch|
| quatsch | quatsch | quatsch -en | der Quatsch | | | |Resultat|
| quell | quell | quell -en | die Quelle | | | |Ort|
| quengel | quengel | quengel -n | | | | |Stimmgeräusch|
| quer | quer | quer -en | die Quer -ung | | | | | "kreuzen"
| quetsche | quetsche | quetsche -n | die Quetsche | | | |Instrument|
| quick | quick | er- quick -en | | quick | | ~ keck | | "lebhaft"
| quiek | quiek | quieck -en | | | | |Tiergeräusch|
| quiek | quiek | quiek -s -en | | | | |Tiergeräusch|
| quiem | quiem | quiem -en | | | | |Stimmgeräusch| "klagende Laute von sich geben"
| quietsch | quietsch | quietsch -en | | | | |Dinggeräusch|
| quirl | quirl | quirl -en | der Quirl | | | |Instrument|
| quiz | quiz | quizz -en | das Quiz | | | neues Lehnwort < en. |Analogon|
| rache | rache | räche -n (U) | die Rache | | | |Resultat|
| rack | rack -er | racker -n | der Racker | | | ~ mnd. rāken "graben" |Lebewesen| "wie ein Racker arbeiten"
| rackel | rackel | rackel -n | | | | | |
| rad | räd -er (U) | räder -n | die Räder | | | |Instrument>Plural| "hinrichten"
| rad | rad | räd -el -n (U) | das Rad | | | |Instrument| "mit Rädchen arbeiten beim kochen/nähen"
| rad | rad | rad -el -n | das Rad | | | |Instrument|
| radau | radau | radau -en | der Radau | | | |Resultat|
| rag | rag | rag -en | | | | | |
| rahm | rahm | rahm -en | der Rahm -en | | | |Instrument|
| rain | rain | an- rain -en | der Rain | | | |Ort| "angrenzen"
| räkel | räkel | räkel -n | der Räkel | | | ~ Rekel "Flegel" |Lebewesen|
| rament | rament | rament -en | | | | ~ fr. regiment |Stimmgeräusch| "lärmen"
| rament | rament | rament -er -n | | | | ~ fr. regiment |Stimmgeräusch| "lärmen"
| ramm | ramm | ramm -el -n | | | | |Hinundher|
| ramm | ramm | ramm -en | die Ramm -e | | | < ahd. ram "Bock" |Instrument|
| ramsch | ramsch | ver- ramsch -en | der Ramsch | | | |Resultat|
| rand | ränd -er (U) | ränder -n | die Ränder | | | |Resultat>Plural|
| rand | rand | ränd -el -n (U) | der Rand | | | |Meronym|
| rand | rand | um- rand -en | der Rand | | | |Resultat|
| rang | ran | ran -z -en | | | | < mhd. rangen ~ anranzen | | "anschnauzen"
| rang | rang | rang -el -n | der Rang -e | | | |Lebewesen| "lebhaftes Kind"
| ranke | ranke | ranke -n | die Ranke | | | |Analogon|
| rap | rap | rapp -en | der Rap | | | neues Lehnwort < en. |Resultat|
| rapp | raff -el | raffel -n | die Raffel | | | ~ raffen |Instrument| "klappern, rasseln"
| rapp | raff | raff -en | | | | | | "ergreifen"
| rapp | rap | rap -sch -en | | | | ~? raffen | | "hastig ergreifen"
| rapp | rapp -el | rappel -n | der Rappel | | | ~? raffen |Empfindung| "verrückte Laune"
| ras | ras | ras -en | | | | | |
| rasaun | rasaun | rasaun -en | | | | ~? en. reason |Stimmgeräusch| "lärmen"
| rasch | rasch | über- rasch -en | | rasch | | | |
| raschel | raschel | raschel -n | | | | |Dinggeräusch|
| rasp | rasp -el | raspel -n | die Raspel | | | < ahd. raspen "kratzen" |Instrument|
| rassel | rassel | rassel -n | die Rassel | | | |Instrument|
| rast | rast | rast -en | die Rast | | | |Resultat|
| raster | raster | raster -n | das Raster | | | Lehnwort < lat. rāster |Resultat|
| rat 1 | rät -sel (U) | rätsel -n | das Rätsel | | | |Instrument|
| rat 1 | rat | rat -en | der Rat | | | < germ. \*rēdan |Resultat|
| rat 2 | vor- rat | be- vorrat -en | der Vorrat | | | |Resultat|
| rat-schlag | ratschlag | be- ratschlag -en | der Ratschlag | | | |Resultat|
| ratsch | rätsch -e (U) | rätsche -n | die Rätsche | | | |Instrument|
| ratsch | ratsch | ratsch -en | der Ratsch | | | |Resultat|
| ratter | ratter | ratter -n | | | | |Dinggeräusch|
| ratz | ratz | ratz -en | | | | | | "kratzen"
| rau | rau | auf- rau -en | | rau | | | |
| raub | räub -er (U) | räuber -n | der Räuber | | | |Lebewesen|
| raub | raub | raub -en | der Raub | | | |Resultat|
| rauch | rauch | rauch -en | der Rauch | | | |Resultat/Instrument|
| rauch | rauch | räuch -er -n (U) | der Rauch | | | |Instrument|
| rauch | rauch | rauch -er -n | | | | |Verzehr| "Lust zu rauchen"
| rauf | rauf | rauf -en | | | | | |
| raum 1 | an- be- raum | anberaum -en | | | | ~ mhd. ram "Ziel" ≠ Raum | |
| raum 2 | raum | räum -en (U) | der Raum | | | |Resultat|
| raun | raun | raun -en | | | | |Stimmgeräusch|
| raun | raun | raun -z -en | | | | |Stimmgeräusch|
| rausch | rausch | rausch -en | das Ge- räusch (U) | | | |Dinggeräusch|
| rave | rave | rave -n | die Rave | | | neues Lehnwort < en. |Resultat|
| reboot | reboot | reboot -en | | | | neues Lehnwort < en. | |
| rech | rech | rech -en | der Rech -en | | | |Instrument|
| rechn | rechn | rechn -en | die Rechn -ung | | | | |
| recht | recht -lich | ver- rechtlich -en | | rechtlich | | | |
| recht | recht | be- recht -ig -en | das Recht | | | |Resultat| "Recht geben"
| recht | recht | recht -en | das Recht | | | |???| "Recht fordern"
| recht | vor- recht | be- vorrecht -en | das Vorrecht | | | |Resultat|
| recht | vor- recht | be- vorrecht -ig -en | das Vorrecht | | | |Resultat|
| reck | reck | reck -en | | | | |Körperbewegung|
| recycle | recycle | recycel -n | | | | neues Lehnwort < en. | |
| rede | rede | rede -n | die Rede | | | |Resultat|
| reede | reede -r | be- reeder -n | der Reeder | | | |Instrument>Lebewesen| "Ankerplatz > Schiffsbesitzer"
| reff | reff | reff -en | das Reff | | | |Resultat|
| rege | rege | rege -n | | rege | | | |
| regel | regel | regel -n | die Regel | | | Lehnwort < lat. regula |Resultat|
| regen | regn | regn -en | der Regen | | | |Resultat|
| reib | reb (A) | reb -el -n | | | | ~ reiben | |
| reib | reib | reib -en | die Reib -e | | | |Instrument|
| reib | ribb (A) | ribb -el -n | | | | ~ riffeln, rippeln, reiben |Hinundher|
| reib | rub (A) | rubb -el -n | | | | neues Lehnwort < en. "to rub" ~ reiben |Hinundher|
| reich 1 | reich | reich -en | | | | ~ ausreichen |Körperbewegung| "strecken"
| reich 2 | reich -er | an/be- reicher -n | | reicher | | | |
| reif | reif | reif -en | | reif | | | |
| reihe | reihe | reihe -n | die Reihe | | | |Resultat|
| reiher | reiher | reiher -n | der Reiher | | | |Lebewesen| "kotzen wie ein Reiher"
| reim | reim | reim -en | das Reim | | | |Resultat|
| rein | rein | rein -ig -en | | rein | | ~ verunreinigen | |
| reise | reise | reise -n | die Reise | | | |Resultat|
| reiß | reiß | reiß -en | der Riss (A) | | | | |
| reit | reit | reit -en | der Ritt (A) | | | | |
| reiter | reiter | durch- reiter -n | der Reiter | | | < germ. \*hrīdrā |Instrument| "Sieb"
| reiz | reiz | reiz -en | der Reiz | | | |Empfindung|
| relax | relax | relax -en | | | | neues Lehnwort < en. | |
| rempel | rempel | rempel -n | | | | |Körperbewegung|
| render | render | render -n | | | | neues Lehnwort < en. | |
| renk | renk | renk -en | | | | ~ ver/aus/einrenken |Körperbewegung|
| renn | renn | renn -en | | | | |Körperbewegung|
| rente | rente | be/ver- rente -n | die Rente | | | |Resultat|
| reset | reset | resett -en | der Reset | | | neues Lehnwort < en. |Resultat|
| rett | rett | rett -en | die Rett -ung | | | | |
| retweet | retweet | retweet -en | der Retweet | | | neues Lehnwort < en. |Resultat|
| reue | reue | reue -n | die Reue | | | |Resultat|
| reut | reut -er | reuter -n | der Reuter | | | |Instrument| "Futtertrockner"
| reut | reut | reut -en | | | | | | "roden"
| review | review | review -en | das Review | | | neues Lehnwort < en. |Resultat|
| revoluzz | revoluzz | revoluzz -en | | | | 19. Jhd. Lehnwort < it. ~ Revolution | |
| rex | rex | ein- rex -en | | | Rex (Einmachgläser) | | |
| richt | nach- richt | be- nachricht -ig -en | die Nachricht | | | |Resultat|
| richt | richt -ig | be- richtig -en | | richtig | | ~ richten | |
| richt | richt | richt -en | die Richt -ung | | | | |
| riech | riech | riech -en | | | | | |
| riefe | riefe | riefe -l -n | die Riefe | | | = riefen |Meronym|
| riefe | riefe | riefe -n | die Riefe | | | |Meronym|
| riegel | riegel | riegel -n | der Riegel | | | Lehnwort < lat. regula |Instrument|
| ries | ries | ries -el -n | | | | < ahd. rīsan "fallen" |Diminutiv|
| riester | riester | riester -n | | | (Walter) Riester | |Name|
| riffel | riffel | riffel -n | die Riffel | | | |Instrument|
| rigg | rigg | rigg -en | das Rigg | | | |Resultat|
| rigole | rigole | rigole -n | die Rigole | | | Lehnwort < fr. |Resultat| "Land bearbeiten"
| rille | rille | rille -n | die Rille | | | |Resultat|
| rind | rind -er | rinder -n | das Rind | | | |Lebewesen>Plural| "brünstig sein"
| rinde | rinde | ab/ent- rinde -n | die Rinde | | | |Meronym|
| ring 1 | ring | ver- ring -er -n | | gering | | ≠ der Ring | |
| ring 2 | ring -el | ringel -n | der Ringel | | | |Resultat>Diminutiv|
| ring 2 | ring | ring -en | der Ring | | | |Ort| "kämpfen"
| rinne | rinne | rinne -n | die Rinne | | | |Resultat|
| rippe | rippe | ent- ripp -en | die Rippe | | | |Meronym|
| rippel | rippel | rippel -n | der Rippel | | | ~ ribbeln, riffeln |Resultat|
| ritt | ritt -er | ritter -n | der Ritter | | | ~ mnl. rīden ("reiten") |Lebewesen| "kämpfen"
| ritze | ritze | ritze -n | die Ritze | | | |Resultat|
| roam | roam | roam -en | | | | neues Lehnwort < en. | |
| robbe | robbe | robbe -n | die Robbe | | | |Lebewesen|
| robot | robot | robot -en | der Robot | | | |Lebewesen| "schwer arbeiten"
| röch | röch | röch -el -n | | | | < ie. \*reuk "brüllen" |Diminutiv| "schnarchend atmen"
| rock | rock | rock -en | der Rock | | | neues Lehnwort < en. |Instrument|
| rod | rod | rod -en | die Rod -ung | | | | | "Bäume ausreißen"
| rödel | rödel | rödel -n | | | | | | "angestrengt arbeiten"
| rodel | rodel | rodel -n | das Rodel | | | |Instrument|
| roh | roh | ver- roh -en | | roh | | | |
| rohr | rohr | be/ver- rohr -en | das Rohr | | | |Meronym|
| röhr | röhr | röhr -en | | | | |Tiergeräusch|
| roll | roll -er | roller -n | der Roller | | | |Instrument|
| roll | roll | roll -en | die Roll -e | | | |Resultat|
| röntg | röntg | röntg -en | | | (Wilhelm) Röntgen | | |
| rost 1 | rost | röst -en (U) | der Rost | | | |Instrument| "Gitter"
| rost 2 | rost | rost -en | der Rost | | | |Resultat| "Oxydieren"
| rot | rot | röt -en (U) | | rot | | | |
| rott 1 | rott | rott -en | | | | ~ verrotten | |
| rott 2 | rott | rott -en | die Rotte | | | ~ zusammenrotten |Lebewesen|
| rotz | rotz | rotz -en | der Rotz | | | |Resultat|
| rubel | rubel | um- rubel -n | der Rubel | | | |Analogon| "Geld wechseln"
| ruck | ruck | ruck -el -n | | | | |Diminutiv| "kleine Rucke machen"
| ruck | ruck | rück -en (U) | der Ruck | | | |Instrument|
| ruck | ruck | ruck -en | der Ruck | | | |Analogon|
| rudel | rudel | rudel -n | das Rudel | | | |Lebewesen|
| ruder | ruder | ruder -n | das Ruder | | | < germ. \*rōþr |Instrument|
| ruf | ruf | ruf -en | der Ruf | | | |Resultat|
| rüffel | rüffel | rüffel -n | der Rüffel | | | |Resultat|
| rüge | rüge | rüge -n | die Rüge | | | |Resultat|
| ruhe | ruh -ig | be- ruhig -en | | ruhig | | | |
| ruhe | ruhe | ruhe -n | die Ruhe | | | |Resultat|
| ruhm | ruhm | rühm -en (U) | der Ruhm | | | |Resultat|
| rühr | rühr | rühr -en | die Rühr -ung | | | |Körperbewegung|
| rülps | rülps | rülps -en | der Rülps | | | |Resultat|
| rumm | rumm -el | rummel -n | der Rummel | | | ~ rumsen ~? Rumor |Dinggeräusch|
| rumm | rumm | rum -s -en | | | rum | ~? Rumor |Dinggeräusch|
| rumor | rumor | rumor -en | der Rumor | | | Lehnwort lat. rūmor ~? rumsen, rummeln |Resultat|
| rumpel | rumpel | ent- rümpel -n (U) | das Ge- rümpel | | | ~? Rummel | |
| rumpel | rumpel | rumpel -n | | | | ~? rumsen |Dinggeräusch|
| rümpf | rümpf | rümpf -en | | | | |Körperbewegung|
| rund | rund | rund -en | | rund | | | |
| runks | runks | runks -en | der Runks | | | |Lebewesen| "Rüpel"
| runzel | runzel | runzel -n | die Runzel | | | |Resultat|
| rupf | rupf | rupf -en | | | | | |
| rüsche | rüsche | rüsche -n | die Rüsche | | | |Meronym|
| rusp | räusp (K) | räusp -er -n | | | | ~ mnd. rūspen "aufstoßen, rülpsen" | |
| ruß | ruß | ruß -en | der Ruß | | | |Resultat|
| rüst | rüst | rüst -en | das Ge- rüst | | | | |
| rutsche | rutsche | rutsche -n | die Rutsche | | | |Analogon|
| rütt | rütt | rütt -el -n | | | | |Hinundher|
| rütt | rütt | zer- rütt -en | | | | | |
| sä | sä | sä -en | | | | ~ Saat, Samen | |
| sabb | sabb -el | sabbel -n | der Sabbel | | | ~ Saft, ie. \*sap "schmecken" |Resultat|
| sabb | sabb -er | sabber -n | der Sabber | | | ~ Saft, ie. \*sap "schmecken" |Resultat|
| säbel | säbel | säbel -n | der Säbel | | | |Instrument|
| sache | sach -lich | ver- sachlich -en | | sachlich | | | |
| sache | ur- sache | ver- ursache -n | die Ursache | | | ~ nl oor- ≠ nl. oer- |Resultat|
| sachse | sachse | sächse -l -n (U) | der Sachse | | | |Lebewesen|
| sack 1 | säck -el (U) | ein- säckel -n | das Säckel | | | |Meronym|
| sack 1 | sack | sack -en | der Sack | | | |Meronym| "in Säcke abfüllen"
| sack 2 | ver- sack | versack -en | | | | ~ sinken ~ nl. zakken | | "einsinken und steckenbleiben"
| saft | saft | saft -en | der Saft | | | |Resultat|
| sag | sag | sag -en | | | | |Stimmgeräusch|
| säge | säge | säge -n | die Säge | | | |Instrument|
| sahne | sahne | ab- sahne -n | die Sahne | | | |Meronym|
| saite | saite | be- saite -n | die Saite | | | |Meronym|
| salbe | salbe | salbe -n | die Salbe | | | |Meronym|
| salz | salz | salz -en | das Salz | | | < germ. \*salta |Meronym|
| sam | sam | be- sam -en | der Sam -en | | | < germ. \*sēman < ie. \*sē-men |Meronym|
| samm | samm | samm -el -n | | zu-samm-en | | ~ gesamt, zusammen | |
| sample | sample | sampel -n | das Sample | | | neues Lehnwort < en. |Resultat|
| sand | sand | sänd -el -n | der Sand | | | |Instrument| "mit Sand spielen"
| sand | sand | sand -el -n | der Sand | | | |Meronym| "mit Sand bestreuen"
| sand | sand | sand -en | der Sand | | | ~ versanden |Meronym| "mit Sand bedecken"
| sanft | sanft | be- sänft -ig -en (U) | | sanft | | | |
| sarg | sarg | ein- sarg -en | der Sarg | | | |Meronym|
