 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| blech | blech | blech -en | das Blech | | | |Instrument|
| bleck | bleck | bleck -en | | | | ~ bayr. derblecken | | "zeigen"
| blei | blei | ver- blei -en | das Blei | | | |Instrument|
| bleibe | bleibe | bleibe -n | die Bleibe | | | |Ort|
| bleich | bleich | bleich -en | | bleich | | | |
| blick | blick | blick -en | der Blick | | | |Resultat|
| blick | blit -z | blitz -en | der Blitz | | | < ahd. bleckazzen < germ. \*blīkan "glänzen" |Resultat|
| blind | blend (K) | blend -en | die Blend -e | | | |Instrument|
| blind | blind | er- blind -en | | blind | | | |
| blink | blin -z | blinz -el -n | | | | ~ blinken |Wiederholung|
| blink | blin | blin -z -en | | | | ~ blinken | |
| blink | blink | blink -en | | | | | | "funkeln"
| blink | blink | blink -er -n | der Blinker | | | |Lichteffekt| "kurz und schnell blinken"
| block | block | block -en | der Block | | | |Analogon|
| blöd | blöd | blöd -el -n | | blöd | | ~ der Blödel | |
| blöd | blöd | ent/ver- blöd -en | | blöd | | | |
| blog | blog | blogg -en | der Blog | | | neues Lehnwort < en. |Resultat|
| blök | blök | blök -en | | | | |Tiergeräusch|
| blond | blond | er- blond -en | | blond | | | |
| bloß | bloß | ent- blöß -en (U) | | bloß | | | |
| blubber | blubber | blubber -n | die Blubber | | | |Analogon|
| bluff | bluff | bluff -en | der Bluff | | | 19. Jhd. Lehnwort < en. |Resultat|
| bluff | bluff | ver- blüff -en (U) | | | | ~ nl. verbluffen < mnl. bluffen "klopfen" ~ en. bluff | |
| blüh | blüh | blüh -en | die Blü -t -e | | | |Resultat|
| bluse | bluse | bluse -n | die Bluse | | | |Analogon|
| blut | blut | blut -en | das Blut | | | |Resultat|
| board | board | board -en | | | | neues Lehnwort < en. | |
| bock | bock | böck -el -n (U) | der Bock | | | |Lebewesen| "stinken"
| bock | bock | bock -en | der Bock | | | |Lebewesen|
| bod | bod | bod -ig -en | der Bod -en | | | |Ort| "zu boden werfen"
| bohle | bohle | aus- bohle -n | die Bohle | | | |Instrument| "mit Bretter auslegen"
| bohn | bohn | bohn -er -n | | | | < mnd. bōnen ~ nl. boenen |Körperbewegung| "putzen"
| bohr | bohr | bohr -en | die Bohr -ung | | | | |
| boje | boje | aus- boje -n | die Boje | | | |Instrument|
| bol | böll -er (U) | böller -n | der Böller | | | < mhd. boln "werfen" |Instrument|
| bölk | bölk | bölk -en | | | | |Tiergeräusch|
| boller | boller | boller -n | | | | |Dinggeräusch|
| bolz | bolz | bolz -en | der Bolz -en | | | ~ holzen |Analogon| "hämmern (Instrument) > spielen (Analogon)"
| bombe | bombe | bombe -n | die Bombe | | | |Instrument|
| bon | bon | bong -en | der Bon | | | |Resultat|
| boom | boom | boom -en | der Boom | | | neues Lehnwort < en. |Resultat|
| booster | booster | booster -n | der Booster | | | neues Lehnwort < en. |Instrument|
| boot | boot | boot -en | das Boot | | | |Instrument|
| bord | börd -el (U) | bördel -n | das Bördel | | | |Instrument>Diminutiv| "Schiffsrand" > "Metallrand"
| bord | bord | über- bord -en | das Bord | | | |Analogon| "Schiffsrand"
| borg | borg | borg -en | der Borg | | | |Instrument| "auf Borg freikommen"
| bösch | bösch | bösch -en | die Bösch -ung | | | | | "abschrägen"
| böse | böse -r | ver- böser -n | | böser | | | |
| böse | böse | er- bose -n | | böse | | | |
| bossel | bossel | bossel -n | | | | | | "basteln"
| boßel | boßel | boßel -n | die Boßel | | | |Instrument| "Spiel mit Kugel"
| boulder | boulder | boulder -n | | | | neues Lehnwort < en. | |
| bowl | bowl | bowl -en | | | | neues Lehnwort < en. | |
| box | box | box -en | | | | 18. Jhd. Lehnwort < en. | |
| brabbel | brabbel | brabbel -n | | | | |Stimmgeräusch|
| brägel | brägel | brägel -n | | | | | | "brutzeln"
| bräm | ver- bräm | verbräm -en | | | | ~ en. brim | | "säumen"
| brand | brand | brand -en | die Brand -ung | | | ≠ der Brand | |
| brasse | brasse | an/auf- brasse -n | die Brasse | | | |Instrument|
| brat | brat | brät -el -n (U) | | | | |Diminutiv|
| brat | brat | brat -en | das Brät (U) | | | | |
| brat | brut (A) | brut -zel -n | | | | | |
| bratsche | bratsche | bratsche -n | die Bratsche | | | |Instrument|
| brau | brau | brau -en | das Ge- bräu (U) | | | | |
| brauch | brauch | brauch -en | der Brauch | | | |Resultat| "genießen > gebrauchen > nötig haben"
| braun | braun | bräun -en (U) | | braun | | | |
| braus | braus | braus -en | der Braus | | | |Resultat| "in Saus und Braus"
| break | break | break -en | | | | neues Lehnwort < en. | |
| brech | brech | brech -en | der Bruch (A) | | | | |
| breit | breit -er | ver- breiter -n | | breiter | | | |
